FID,FID_1,GEOID,Count_,GEOID_1,partyRatio,GEOID_12,HHmedIncom,GEOID_1_13,normScore,Count_1,Sum_FID_,Sum_X_Long,Sum_Y_Lati
240,240,12103027308,0,12103027308,1.257214555,12103027308,48333,12103027308,0.640865,0,0,0,0
241,241,12103027319,0,12103027319,0.944035346,12103027319,52336,12103027319,0.691131,0,0,0,0
242,242,12115000405,0,12115000405,0.935732648,12115000405,60727,12115000405,0.897875,0,0,0,0
243,243,12115002716,0,12115002716,1.504830918,12115002716,68285,12115002716,0.958646,0,0,0,0
244,244,12115000700,0,12115000700,1.286202965,12115000700,95368,12115000700,0.97817,0,0,0,0
245,245,12115001403,0,12115001403,1.509538759,12115001403,85444,12115001403,0.914473,0,0,0,0
246,246,12115000404,0,12115000404,0.671480144,12115000404,55893,12115000404,0.830841,0,0,0,0
247,247,12115002505,0,12115002505,1.296577947,12115002505,55743,12115002505,0.94143,0,0,0,0
248,248,12115001401,0,12115001401,0,12115001401,90625,12115001401,0.883471,0,0,0,0
249,249,12115001402,0,12115001402,0,12115001402,71161,12115001402,0.867751,0,0,0,0
250,250,12115001302,0,12115001302,0,12115001302,64805,12115001302,0.852654,0,0,0,0
251,251,12115001506,0,12115001506,1.111620445,12115001506,66272,12115001506,0.862953,0,0,0,0
252,252,12115001507,0,12115001507,0,12115001507,54456,12115001507,0.944882,0,0,0,0
253,253,12115001304,0,12115001304,0,12115001304,71250,12115001304,0.935226,0,0,0,0
254,254,12109021407,0,12109021407,0,12109021407,60469,12109021407,0.753462,0,0,0,0
255,255,12109020901,0,12109020901,1.650347625,12109020901,53240,12109020901,0.76867,0,0,0,0
256,256,12109020602,0,12109020602,1.840597015,12109020602,86705,12109020602,0.866314,1,0,-81.41837932,30.10863535
257,257,12109021004,0,12109021004,2.448991031,12109021004,57140,12109021004,0.956674,0,0,0,0
258,258,12109020902,1,12109020902,2.240346535,12109020902,92834,12109020902,0.757347,0,0,0,0
259,259,12109020806,0,12109020806,2.351029252,12109020806,124853,12109020806,0.71566,0,0,0,0
260,260,12109020708,0,12109020708,2.130876747,12109020708,191136,12109020708,0.758348,0,0,0,0
261,261,12109020707,0,12109020707,0,12109020707,63077,12109020707,0.810113,0,0,0,0
262,262,12109020805,0,12109020805,2.306451613,12109020805,128507,12109020805,0.73635,0,0,0,0
263,263,12109020801,0,12109020801,2.139240506,12109020801,98887,12109020801,0.697009,0,0,0,0
264,264,12109021404,0,12109021404,0,12109021404,61875,12109021404,0.992032,0,0,0,0
265,265,12083000802,0,12083000802,2.304371585,12083000802,56494,12083000802,0.91633,0,0,0,0
266,266,12083001208,0,12083001208,1.669014085,12083001208,46099,12083001208,0.837685,0,0,0,0
267,267,12103020101,1,12103020101,0.13446677,12103020101,26822,12103020101,0.570893,0,0,0,0
268,268,12103020105,1,12103020105,0.809027778,12103020105,79896,12103020105,0.600923,0,0,0,0
269,269,12103020301,0,12103020301,0.176923077,12103020301,49514,12103020301,0.460822,0,0,0,0
270,270,12115000101,0,12115000101,0.705272512,12115000101,40147,12115000101,0.819233,1,0,-82.53887,27.33889
271,271,12115001702,0,12115001702,0,12115001702,58112,12115001702,0.921699,0,0,0,0
272,272,12115001703,0,12115001703,0,12115001703,47031,12115001703,0.92226,0,0,0,0
273,273,12115001704,0,12115001704,0.90648855,12115001704,57371,12115001704,0.838687,0,0,0,0
274,274,12115001801,0,12115001801,0,12115001801,72548,12115001801,0.895544,0,0,0,0
275,275,12115001601,0,12115001601,1.002217295,12115001601,62273,12115001601,0.834727,0,0,0,0
276,276,12115001602,0,12115001602,0.946040035,12115001602,47060,12115001602,0.776495,0,0,0,0
277,277,12115002203,0,12115002203,1.168443497,12115002203,48964,12115002203,0.834413,0,0,0,0
278,278,12115002401,0,12115002401,0,12115002401,59496,12115002401,0.952673,0,0,0,0
279,279,12083000402,0,12083000402,2.715617716,12083000402,32476,12083000402,0.956584,0,0,0,0
280,280,12083000502,0,12083000502,3.326164875,12083000502,30263,12083000502,0.908258,0,0,0,0
281,281,12083000501,0,12083000501,3.011494253,12083000501,41500,12083000501,0.966578,0,0,0,0
282,282,12083000605,0,12083000605,2.714285714,12083000605,32069,12083000605,0.914836,0,0,0,0
283,283,12083000604,0,12083000604,3.071770335,12083000604,32429,12083000604,0.929397,0,0,0,0
